Latitude,Longitude
53.496207, -113.555131
53.495788, -113.542919
53.494812, -113.553073
53.494457, -113.552247
53.493632, -113.550537
53.492830, -113.551207
53.492530, -113.552293
53.492329, -113.554079
53.491759, -113.542548
53.491622, -113.554932
53.491557, -113.548554
53.491317, -113.553728
53.490912, -113.546651
53.490697, -113.543609
53.491143, -113.555434
53.491064, -113.547288
53.491027, -113.543005
53.490862, -113.552860
53.490737, -113.544201
53.490699, -113.544003
53.490646, -113.552126
53.490553, -113.553650
53.490536, -113.552640
53.490532, -113.552524
53.490535, -113.552435
53.490528, -113.552417
53.490531, -113.552407
53.490529, -113.552400
53.490532, -113.552396
53.490531, -113.552394
53.490530, -113.552393
53.490530, -113.552392
53.490530, -113.552392